"ROI 1","ROI 2","ROI 3","ROI 4","ROI 5"
-0.00404569,-0.0216816,-0.00409716,-0.0064085,-0.00562042
-0.00302749,-0.0216438,-0.00271379,-0.00764567,-0.00807213
-0.00344572,-0.0212965,-0.00225161,-0.00650701,-0.00575808
-0.00203463,-0.0208365,-0.00469532,-0.00698995,-0.00784642
-0.0027645,-0.0204093,-0.0022127,-0.00575235,-0.00674063
-0.0027645,-0.0204093,-0.0022127,-0.00575235,-0.00674063
-0.000502937,-0.0172824,-0.00343312,-0.00540961,-0.00492485
6.73397e-05,-0.0174625,-0.0030084,-0.00461435,-0.00576578
0.000146402,-0.0156307,-0.00280692,-0.00336801,-0.00552014
-0.000988826,-0.015036,-0.00458776,-0.00326808,-0.00619516
-0.000988826,-0.015036,-0.00458776,-0.00326808,-0.00619516
0.00183221,-0.0139629,-0.00252246,-0.00172679,-0.00401963
0.00321832,-0.0137764,-0.00305477,-0.00232777,0.000958555
0.00461132,-0.0146632,-0.000604455,0.000706881,0.00227741
0.00609666,-0.01358,-0.00103497,0.000689819,0.00403114
0.0067601,-0.0146509,-0.00134588,0.00163301,0.00634996
0.00506751,-0.0151099,-0.000671169,0.00101951,0.0108477
0.0061881,-0.0159194,-0.00309219,0.00202801,0.0172911
0.0061881,-0.0159194,-0.00309219,0.00202801,0.0172911
0.00587117,-0.0160502,-0.00292738,0.00259347,0.0217529
0.00395416,-0.0156177,-0.00287021,0.000372612,0.0232221
0.00409656,-0.0159946,0.000356359,0.00192336,0.0301295
0.00316583,-0.0155004,-0.000294242,0.00228355,0.0300513
0.00176939,-0.0164752,-0.00196134,0.00194958,0.0290135
0.00176939,-0.0164752,-0.00196134,0.00194958,0.0290135
0.00360084,-0.016427,-0.00175484,0.00189799,0.0260196
0.00360084,-0.016427,-0.00175484,0.00189799,0.0260196
0.00442495,-0.0155685,-0.00292009,0.00172505,0.0256464
0.00295752,-0.0160178,-0.00014853,0.00276432,0.0243335
0.00374935,-0.0151276,-0.00309713,0.00322301,0.0243725
0.00199011,-0.0146445,-0.00112108,0.00279017,0.0230452
0.00291427,-0.0139301,-0.000792624,0.00191651,0.0223877
0.00132618,-0.00949754,-0.00248838,0.00245924,0.0202016
0.00265036,-0.010852,-0.000625874,0.00282385,0.0208613
0.00144413,-0.0104987,-0.001486,0.0011136,0.0178433
6.31561e-05,-0.0105229,-0.004193,0.00153091,0.0184284
0.000129582,-0.0117886,-0.00204566,0.00120335,0.0161071
0.000249905,-0.0126658,-0.00244592,0.000706166,0.0159999
0.000598069,-0.0119169,0.000149286,0.00110931,0.0160085
0.000479072,-0.0127476,-0.00299643,0.00213726,0.0130218
0.00124467,-0.0136084,-0.00190717,0.00152961,0.0116857
0.00117441,-0.0149437,-0.00290262,0.00172592,0.0103087
0.00117441,-0.0149437,-0.00290262,0.00172592,0.0103087
-0.00192877,-0.0145528,-0.00612787,0.00088275,0.0106391
-0.000548702,-0.0144583,-0.00199271,0.000991958,0.00943955
-0.000548702,-0.0144583,-0.00199271,0.000991958,0.00943955
-0.00120248,-0.0154949,-0.00092489,0.00151195,0.00837557
0.000318498,-0.0162099,0.000455961,0.00243739,0.00596188
-0.00117391,-0.0170179,-0.000866115,0.00188442,0.00819655
-0.000687565,-0.0167606,-0.00131645,0.00196977,0.00704853
-0.00205799,-0.0176746,-0.00213415,0.00101545,0.00475796
-0.000522155,-0.0188881,-0.00179158,0.00240017,0.00329221
-0.00176264,-0.0177,0.000427757,0.000416415,0.00367781
-0.000906594,-0.0177243,-0.00117556,0.0014847,0.00394208
-0.00262959,-0.0181165,0.000386981,0.00122657,0.00372794
-0.00247441,-0.017089,-0.00235965,0.0014673,0.00239318
-0.00284668,-0.0182779,0.000878709,0.00119664,0.00255489
-0.00344241,-0.0178,-0.00159652,0.00213648,0.00490602
-0.00217728,-0.0176146,-0.000413398,0.000929944,0.00404402
-0.00217728,-0.0176146,-0.000413398,0.000929944,0.00404402
-0.00217728,-0.0176146,-0.000413398,0.000929944,0.00404402
-0.00263644,-0.0168303,-0.00169906,0.0019797,0.00127587
-0.00275224,-0.0170633,0.00101023,0.000643349,0.0012025
-0.00255488,-0.0162778,-0.00280686,0.000843125,0.00176653
-0.00255488,-0.0162778,-0.00280686,0.000843125,0.00176653
-0.00144797,-0.0104511,-0.000398729,0.00162401,0.00316068
-0.000954052,-0.00674415,-0.000632033,0.00204006,0.00275884
-0.000908605,-0.00580079,0.000311566,0.00156295,0.00180257
-0.000167079,0.00439427,0.00238685,0.00183553,0.00139187
0.000148002,0.00630787,0.00202875,0.00160185,-0.00208066
0.000148002,0.00630787,0.00202875,0.00160185,-0.00208066
-0.000253066,0.00877636,0.0011998,0.00235687,-0.000625039
0.00032546,0.00905134,0.00290176,0.00088715,-0.00310647
0.00309123,0.0118811,0.00175847,-0.000216443,-0.00265724
0.00339821,0.0127702,0.00270089,0.000812503,-0.00129621
0.000144072,0.0111514,0.000728925,0.0021477,-0.000268468
0.00293002,0.0124199,0.000299683,0.00187081,-0.00321559
0.00127807,0.012616,0.00115139,0.00174147,0.0023814
0.00127807,0.012616,0.00115139,0.00174147,0.0023814
0.00165659,0.0134297,0.00101798,0.00295253,-0.00185102
0.00262894,0.0133507,0.00129948,0.00262428,-0.000805939
0.00185593,0.0155587,-0.0020759,0.00212421,0.00605893
0.00183994,0.0145929,-0.0013528,0.00283852,0.00609624
0.00369328,0.0170563,0.00226162,0.00388981,0.00911284
0.00105257,0.0225247,-0.000659098,0.00537492,0.0129154
0.00105257,0.0225247,-0.000659098,0.00537492,0.0129154
0.00176664,0.0238898,0.000101334,0.00589865,0.0109597
0.00249449,0.024244,-0.000853165,0.0061199,0.0115423
0.00249449,0.024244,-0.000853165,0.0061199,0.0115423
0.00155252,0.0257116,0.00342577,0.00560869,0.0141263
0.00177533,0.0249635,0.00245255,0.00583694,0.0103066
0.00178257,0.0260325,0.00251034,0.00645602,0.0144366
0.00149174,0.0234946,0.00527017,0.0058513,0.0106716
0.00182987,0.0222001,0.00278235,0.00695409,0.00909375
0.00040447,0.0183543,0.00379115,0.00599898,0.00358119
0.00120609,0.0136886,0.0034149,0.0063677,0.00284275
0.000752269,0.0129793,0.00400243,0.00606286,0.00508609
-0.0018357,0.00853838,0.00339169,0.00515655,-0.00138892
-0.000290648,0.00768068,0.00420065,0.00682239,0.000645839
-0.000919652,0.0058858,0.00204588,0.00466834,-0.00185518
-0.00212211,0.00662908,0.00287313,0.00577254,-0.00398138
-0.000667279,0.00655301,0.00111967,0.00442783,-0.000645638
-0.000886711,0.00737478,0.00274998,0.00489793,-2.1153e-05
-0.000886711,0.00737478,0.00274998,0.00489793,-2.1153e-05
-0.0016596,0.00690326,0.00398444,0.00497607,0.0016575
-0.0016596,0.00690326,0.00398444,0.00497607,0.0016575
0.000460582,0.00653565,0.00220054,0.00569458,-0.000554263
4.95899e-05,0.00717641,0.00356766,0.00536182,0.00162803
0.00161293,0.00764673,0.00204731,0.00519119,0.000744389
0.00361052,0.00713128,0.00265635,0.00522135,0.00235368
-0.00045668,0.00637216,0.00516465,0.00508572,-0.00213622
-0.00068386,0.00675129,0.0027946,0.00481981,-0.000160023
-0.00205526,0.00685377,0.00507873,0.00399455,0.000913364
-2.72042e-06,0.00715712,0.00470394,0.00404529,0.00101125
-0.00107182,0.0086198,0.0040488,0.00338422,-0.00413154
2.53442e-05,0.00872663,0.00531475,0.00382402,-0.00284819
0.0014498,0.00873762,0.00499904,0.00365334,-0.0032132
-0.000199534,0.0121294,0.00645879,0.00338382,-0.0029447
0.000378874,0.011096,0.00708135,0.00335219,-0.00416616
0.00184582,0.0106319,0.00418841,0.00402075,-0.00548171
0.000124282,0.0135204,0.00307755,0.00351757,-0.00460929
0.00329722,0.017181,0.00580961,0.00350272,-0.00689703
0.010053,0.0189335,0.00685173,0.00498223,-0.00287116
0.00494669,0.0199344,0.0039438,0.00510797,-0.00623117
